需求ID,Sprint,用例ID,模块,用例标题,优先级,用例类型,前置条件,操作步骤,预期结果,关联文档章节
P0-C3,Sprint4,S4-TC03,用例审阅/编辑,在线编辑-新增步骤,高,功能,审阅页,"1.新增步骤 2.保存",步骤增加;updateSteps成功,3.2-3
P0-C3,Sprint4,S4-TC04,用例审阅/编辑,在线编辑-删除步骤,高,功能,审阅页,"1.删除某步 2.生成用例",用例不含该步,3.2-3
P0-C3,Sprint4,S4-TC05,用例审阅/编辑,在线编辑-向上合并,中,功能,选中第2步,"1.向上合并",两步合并;display_name拼接,3.2-3
P0-C3,Sprint4,S4-TC06,用例审阅/编辑,在线编辑-拆分步骤,中,功能,选中某步,"1.拆分",一步变两步;offset合理,3.2-3
P1-D3,Sprint4,S4-TC07,用例生成/分段,分段生成-3切点3用例,高,功能,录制含3切点,"1.开分段生成 2.生成",创建3条用例;命名含label,3.3-3
P0-C4,Sprint4,S4-TC08,执行复盘/失败回放,TaskDetail-回放失败片段,高,功能,任务失败且enable_recording,"1.打开TaskDetail 2.点回放失败片段",播放器定位到失败step offset,3.2-4 / 验收3
P1-D2,Sprint4,S4-TC10,视频录制/兜底,应急保存-投屏断连,高,异常,录制中,"1.断开投屏",应急保存成功;审阅页显示应急警告,3.3-2 / 验收3
P0-V3,Sprint4,S4-TC11,视频录制/性能,性能-5分钟CPU采样报告,高,性能,1080p设备,"1.录制5min 2.记录CPU",产出压测报告,验收标准1
P0-V3,Sprint4,S4-TC12,视频录制/性能,性能-自适应降帧,中,性能,低配或高负载,"1.录制3min",fps自动降低;视频可播,3.1-3
P0-C4,Sprint4,S4-TC13,执行锚点/ATP标记,ATP_STEP_BEGIN日志写入,高,功能,enable_recording任务,"1.执行10步用例",execution_logs含10条STEP_BEGIN,recording-atp-step-marker-spec
P0-C4,Sprint4,S4-TC14,执行锚点/ATP标记,失败步骤STEP_END与failure-playback,高,功能,第5步故意失败,"1.查failure-playback API",offset对应第5步;含recording_id,recording-atp-step-marker-spec
P1-D1,Sprint5,S5-TC01,数据安全/脱敏,手机号输入步骤与画面脱敏,高,安全,录制中,"1.输入手机号",text为138****5678;键盘区打码,3.3-1 / 验收4
P1-D1,Sprint5,S5-TC02,数据安全/脱敏,身份证号脱敏,高,安全,可输入身份证,"1.输入并结束",日志步骤无明文18位,3.3-1
P1-D1,Sprint5,S5-TC03,数据安全/脱敏,邮箱与订单号脱敏,高,安全,可输入邮箱订单,"1.输入并审阅",desensitized=true;无明文,3.3-1
P1-D1,Sprint5,S5-TC04,数据安全/脱敏,生产环境强制脱敏不可关,高,安全,prod环境配置,"1.打开DeviceScreen",脱敏开关disabled,3.3-1
P1-D2,Sprint5,S5-TC06,异常兜底/恢复,关浏览器tab后草稿恢复,高,异常,录制中,"1.关tab 2.重开平台",提示未完成录制;可恢复,3.3-2
P1-D2,Sprint5,S5-TC07,异常兜底/恢复,30秒autosave步骤不丢,高,功能,录制中,"1.录制60秒 2.模拟断网",步骤数与断前一致,3.3-2
P0-C2,Sprint5,S5-TC09,用例生成/定位,二次回放定位命中率抽检,高,功能,10条样本用例,"1.逐步resolve定位",命中率≥98%报告,验收2
P0-C1,Sprint5,S5-TC10,用例生成/识别,识别率10样本均值≥95%,高,功能,10条业务用例,"1.录制并查recognition_rate",均值≥0.95,验收2
P2-A1,Sprint6,S6-TC01,自动化联动/转换,纯click用例转Python脚本,高,功能,含locators录制用例,"1.转为自动化 2.查看script_content",含get_locator;非空脚本,3.4
P2-A1,Sprint6,S6-TC02,自动化联动/转换,含tap_xy标记manual_fix,高,功能,含坐标降级步骤,"1.转换",成功且标记needs_manual_fix,3.4
P2-A1,Sprint6,S6-TC03,自动化联动/执行,转换后同屏调试可执行,高,功能,S6-TC01用例,"1.同屏调试",任务提交;≥80%步骤通过,3.4
P2-A1,Sprint6,S6-TC04,自动化联动/转换,input步骤脚本正确,中,功能,含input步骤,"1.转换查script",含input且文本正确,3.4
P2-A1,Sprint6,S6-TC05,自动化联动/回归,转换后用例case_status=active,高,功能,转换完成,"1.查用例详情",status=active;enable_recording可选,3.4
P2-A1,Sprint7,S7-TC01,自动化联动/调度,submit-regression创建任务,高,功能,已转换用例,"1.生成并提交回归",返回task_id;任务可执行,3.4
附加-G1,Sprint7,S7-TC03,灰度/兼容,recording_v2关闭回退旧流程,中,功能,v2开关OFF,"1.打开DeviceScreen",隐藏FAB/新StatusBar;旧录制可用,文档第六节
附加-G1,Sprint7,S7-TC04,灰度/兼容,recording_v2开启新流程,高,功能,v2开关ON,"1.全流程录制",新功能全部可用,文档第六节
验收,Sprint7,S7-TC05,全量验收,验收1-启动CPU三类模式,高,验收,测试机基线,"1.按验收标准1执行",全部通过或遗留登记,第五节
验收,Sprint7,S7-TC06,全量验收,验收2-识别率定位命中率,高,验收,10+样本,"1.按验收标准2",recognition≥95%;命中≥98%,第五节
验收,Sprint7,S7-TC07,全量验收,验收3-联动与异常留存,高,验收,S4+S5用例,"1.回归",双向联动+异常留存OK,第五节
验收,Sprint7,S7-TC08,全量验收,验收4-100%脱敏,高,验收,敏感样本集,"1.生产配置下录制",无明文泄露,第五节
核心要点,Sprint7,S7-TC09,核心要点,操作时序保真-50步时序核对,高,功能,长链路录制,"1.对比视频与步骤数",无漏步乱序;offset单调,核心要点1
核心要点,Sprint7,S7-TC10,核心要点,视频步骤同源绑定-全链路,高,功能,录制到执行,"1.录制审阅 2.转用例 3.执行失败回放",全链路可溯源,核心要点4
